Cruise_Number: IML2018051
Original_Filename: iml2018051001.cnv
Latitude: 48.75017
Longitude: -64.08133
GMT_Time: 14-OCT-2018 18:30:42.00
Event_Comments: Station 8.7
Quality_Comments: QCFF values are derived from tests of GTSPP stage 2
Quality_Comments: A quality flag modified by hand has a QCFF value of 1
Quality_Comments: Mean(AutoSAL-CTD) = 0.017092 ±0.0096407 (58 data)
Quality_Comments: O2 sensor calibrated with Winkler titrations (n=77, r2=0.998); orig Soc=0.33043, voffset=-0.4404
Quality_Comments: pH calibration to come
   CNTR_01    PRES_01 Q    TE90_01 Q    CNDC_01    OXV__01    PHPH_01 Q    FLOR_01    TRB__01    PSAR_01    SPAR_01    ALT__01    DPDT_01    DEPH_01 Q    PSAL_01 Q    SIGT_01 Q    DOXY_01 Q    OSAT_01 QCFF_01 
    (none)   decibars    degrees C       mhos/m      volts  NBS scale      mg/m**3        NTU    uE/s/m²    uE/s/m²          m metres/sec     metres          psu      kg/m**3         ml/l            %   
      6309     29.500 1     7.7294 1   3.077439     3.6026      8.238 1     0.7244      1.031      3.467   4628.300  54.900000      0.884     29.248 1    29.4369 1    22.9451 1      6.872 1   99.79400 0 
      6323     30.000 1     7.7286 1   3.077518     3.6011      8.238 1     0.7141      1.032      3.223   4627.900  54.480000      0.864     29.744 1    29.4381 1    22.9461 1      6.871 1   99.77600 0 
      6338     30.500 1     7.7282 1   3.077705     3.6000      8.238 1     0.7036      1.033      2.979   4627.600  54.020000      0.831     30.240 1    29.4402 1    22.9479 1      6.869 1   99.75900 0 
      6353     31.000 1     7.7305 1   3.078230     3.5995      8.238 1     0.7008      1.033      2.732   4626.100  53.520000      0.808     30.735 1    29.4437 1    22.9502 1      6.870 1   99.77000 0 
      6368     31.500 1     7.7342 1   3.078926     3.5991      8.237 1     0.7041      1.030      2.503   4619.800  53.030000      0.809     31.231 1    29.4477 1    22.9529 1      6.872 1   99.81700 0 
      6381     32.000 1     7.7383 1   3.079614     3.5987      8.236 1     0.7034      1.028      2.305   4607.700  52.560000      0.831     31.727 1    29.4512 1    22.9551 1      6.875 1   99.86700 0 
      6395     32.500 1     7.7415 1   3.080153     3.5984      8.235 1     0.6994      1.026      2.136   4593.200  52.130000      0.861     32.222 1    29.4540 1    22.9569 1      6.873 1   99.85800 0 
      6408     33.000 1     7.7445 1   3.080659     3.5981      8.235 1     0.6932      1.027      1.985   4579.600  51.700000      0.886     32.718 1    29.4567 1    22.9586 1      6.870 1   99.81200 0 
      6421     33.500 1     7.7476 1   3.081247     3.5981      8.234 1     0.6854      1.029      1.842   4567.900  51.240000      0.899     33.214 1    29.4600 1    22.9608 1      6.868 1   99.79900 0 
      6435     34.000 1     7.7530 1   3.082335     3.5986      8.234 1     0.6772      1.029      1.704   4558.200  50.740000      0.902     33.710 1    29.4668 1    22.9653 1      6.868 1   99.81900 0 
      6449     34.500 1     7.7625 1   3.084313     3.5992      8.233 1     0.6678      1.029      1.570   4550.200  50.190000      0.893     34.205 1    29.4794 1    22.9740 1      6.866 1   99.80800 0 
      6463     35.000 1     7.7686 1   3.085954     3.5991      8.233 1     0.6574      1.029      1.446   4545.900  49.640000      0.873     34.701 1    29.4914 1    22.9826 1      6.854 1   99.65500 0 
      6478     35.500 1     7.7672 1   3.086700     3.5989      8.233 1     0.6511      1.028      1.339   4547.800  49.090000      0.840     35.197 1    29.5003 1    22.9897 1      6.830 1   99.31800 0 
      6493     36.000 1     7.7647 1   3.087523     3.5989      8.233 1     0.6512      1.025      1.245   4551.700  48.600000      0.804     35.692 1    29.5109 1    22.9983 1      6.800 1   98.87800 0 
      6509     36.500 1     7.7726 1   3.089591     3.5984      8.232 1     0.6500      1.024      1.159   4549.500  48.070000      0.777     36.188 1    29.5258 1    23.0090 1      6.767 1   98.42600 0 
      6524     37.000 1     7.7817 1   3.091887     3.5966      8.231 1     0.6436      1.024      1.076   4538.600  47.550000      0.770     36.684 1    29.5422 1    23.0206 1      6.727 1   97.87500 0 
      6539     37.500 1     7.7803 1   3.094328     3.5920      8.230 1     0.6265      1.022      0.995   4520.200  47.030000      0.783     37.179 1    29.5689 1    23.0418 1      6.680 1   97.20300 0 
      6554     38.000 1     7.7463 1   3.095139     3.5855      8.229 1     0.6129      1.020      0.920   4496.200  46.560000      0.807     37.675 1    29.6061 1    23.0756 1      6.635 1   96.50300 0 
      6567     38.500 1     7.6796 1   3.093878     3.5768      8.228 1     0.6087      1.020      0.849   4467.000  46.120000      0.833     38.171 1    29.6492 1    23.1184 1      6.601 1   95.87900 0 
      6581     39.000 1     7.5910 1   3.091690     3.5650      8.228 1     0.6005      1.022      0.781   4435.400  45.650000      0.855     38.666 1    29.7013 1    23.1710 1      6.598 1   95.67400 0 
      6595     39.500 1     7.4330 1   3.085851     3.5502      8.226 1     0.5808      1.025      0.714   4407.400  45.190000      0.872     39.162 1    29.7741 1    23.2492 1      6.628 1   95.81200 0 
      6608     40.000 1     7.2011 1   3.075421     3.5312      8.224 1     0.5578      1.025      0.649   4390.300  44.740000      0.885     39.658 1    29.8620 1    23.3484 1      6.662 1   95.84800 0 
      6622     40.500 1     6.9353 1   3.062135     3.5083      8.222 1     0.5239      1.023      0.587   4387.900  44.240000      0.890     40.153 1    29.9491 1    23.4508 1      6.694 1   95.76400 0 
      6636     41.000 1     6.5740 1   3.043128     3.4851      8.219 1     0.4883      1.021      0.530   4396.300  43.670000      0.883     40.649 1    30.0584 1    23.5818 1      6.717 1   95.35800 0 
      6650     41.500 1     6.1855 1   3.022399     3.4636      8.214 1     0.4448      1.021      0.482   4405.600  43.100000      0.862     41.145 1    30.1738 1    23.7194 1      6.724 1   94.67500 0 
      6666     42.000 1     5.8907 1   3.006270     3.4451      8.208 1     0.4119      1.025      0.444   4407.600  42.580000      0.825     41.640 1    30.2576 1    23.8200 1      6.723 1   94.05800 0 
      6681     42.500 1     5.6821 1   2.994519     3.4305      8.202 1     0.3834      1.030      0.413   4403.100  42.090000      0.786     42.136 1    30.3135 1    23.8878 1      6.721 1   93.59100 0 
      6697     43.000 1     5.5821 1   2.988744     3.4198      8.196 1     0.3553      1.032      0.386   4397.200  41.590000      0.766     42.632 1    30.3386 1    23.9189 1      6.717 1   93.33400 0 
      6712     43.500 1     5.5413 1   2.986211     3.4115      8.192 1     0.3348      1.034      0.359   4392.200  41.060000      0.773     43.127 1    30.3467 1    23.9299 1      6.715 1   93.22100 0 
      6726     44.000 1     5.5175 1   2.984615     3.4048      8.188 1     0.3161      1.036      0.334   4387.300  40.600000      0.796     43.623 1    30.3501 1    23.9351 1      6.718 1   93.21400 0 
      6741     44.500 1     5.4962 1   2.983195     3.3992      8.185 1     0.2993      1.039      0.309   4385.200  40.140000      0.823     44.119 1    30.3531 1    23.9399 1      6.718 1   93.17200 0 
      6755     45.000 1     5.4790 1   2.982115     3.3942      8.182 1     0.2839      1.042      0.286   4395.200  39.640000      0.843     44.614 1    30.3563 1    23.9443 1      6.704 1   92.93900 0 
      6769     45.500 1     5.4577 1   2.980821     3.3895      8.180 1     0.2725      1.044      0.265   4425.500  39.120000      0.849     45.110 1    30.3608 1    23.9502 1      6.676 1   92.49900 0 
      6784     46.000 1     5.4190 1   2.978503     3.3857      8.178 1     0.2653      1.046      0.248   4471.000  38.600000      0.840     45.606 1    30.3695 1    23.9613 1      6.652 1   92.09500 0 
      6799     46.500 1     5.3668 1   2.975564     3.3824      8.176 1     0.2631      1.048      0.232   4516.500  38.060000      0.820     46.101 1    30.3833 1    23.9780 1      6.644 1   91.87100 0 
      6814     47.000 1     5.3326 1   2.973788     3.3779      8.175 1     0.2625      1.049      0.217   4551.000  37.560000      0.801     46.597 1    30.3941 1    23.9902 1      6.652 1   91.91500 0 
      6829     47.500 1     5.2925 1   2.971716     3.3711      8.173 1     0.2629      1.050      0.203   4573.000  37.070000      0.794     47.093 1    30.4069 1    24.0047 1      6.654 1   91.86200 0 
      6844     48.000 1     5.1977 1   2.966855     3.3621      8.172 1     0.2641      1.051      0.190   4588.200  36.480000      0.800     47.588 1    30.4378 1    24.0393 1      6.650 1   91.61600 0 
      6858     48.500 1     5.0582 1   2.959773     3.3525      8.171 1     0.2656      1.053      0.178   4602.200  35.860000      0.814     48.084 1    30.4844 1    24.0911 1      6.657 1   91.43900 0 
      6872     49.000 1     4.8637 1   2.950084     3.3435      8.170 1     0.2679      1.056      0.166   4614.900  35.330000      0.832     48.580 1    30.5519 1    24.1648 1      6.669 1   91.22200 0 
      6886     49.500 1     4.6938 1   2.941748     3.3344      8.168 1     0.2673      1.057      0.155   4624.900  34.900000      0.849     49.075 1    30.6126 1    24.2303 1      6.661 1   90.77200 0 
      6900     50.000 1     4.5521 1   2.934840     3.3242      8.165 1     0.2594      1.058      0.144   4630.600  34.430000      0.857     49.571 1    30.6640 1    24.2853 1      6.635 1   90.14700 0 
      6914     50.500 1     4.3897 1   2.927052     3.3141      8.163 1     0.2548      1.059      0.132   4632.900  33.940000      0.855     50.067 1    30.7246 1    24.3494 1      6.613 1   89.52200 0 
      6929     51.000 1     4.1995 1   2.918111     3.3051      8.160 1     0.2535      1.062      0.121   4633.800  33.450000      0.847     50.562 1    30.7981 1    24.4263 1      6.612 1   89.14600 0 
      6943     51.500 1     4.0646 1   2.911786     3.2958      8.156 1     0.2536      1.068      0.110   4634.400  32.910000      0.835     51.058 1    30.8507 1    24.4809 1      6.644 1   89.30900 0 
      6958     52.000 1     3.9506 1   2.906231     3.2848      8.153 1     0.2536      1.077      0.098   4635.000  32.370000      0.821     51.554 1    30.8928 1    24.5250 1      6.688 1   89.68400 0 
      6974     52.500 1     3.7895 1   2.898293     3.2710      8.150 1     0.2525      1.085      0.087   4634.900  31.850000      0.800     52.049 1    30.9516 1    24.5866 1      6.720 1   89.78600 0 
      6990     53.000 1     3.5629 1   2.886963     3.2555      8.147 1     0.2475      1.094      0.080   4634.300  31.330000      0.773     52.545 1    31.0330 1    24.6717 1      6.730 1   89.47300 0 
      7006     53.500 1     3.2867 1   2.873304     3.2421      8.144 1     0.2379      1.104      0.071   4633.500  30.700000      0.746     53.040 1    31.1346 1    24.7767 1      6.733 1   88.96400 0 
      7022     54.000 1     3.0625 1   2.862321     3.2327      8.140 1     0.2343      1.101      0.061   4632.500  29.970000      0.737     53.536 1    31.2190 1    24.8628 1      6.731 1   88.50300 0 
      7037     54.500 1     2.9460 1   2.856561     3.2265      8.136 1     0.2309      1.096      0.052   4632.300  29.580000      0.755     54.032 1    31.2622 1    24.9068 1      6.729 1   88.23800 0 
      7051     55.000 1     2.9000 1   2.854281     3.2218      8.132 1     0.2247      1.095      0.044   4632.700  29.270000      0.793     54.527 1    31.2792 1    24.9241 1      6.728 1   88.13600 0 
      7065     55.500 1     2.8706 1   2.852880     3.2181      8.128 1     0.2182      1.097      0.037   4633.300  28.920000      0.839     55.023 1    31.2906 1    24.9355 1      6.729 1   88.08700 0 
      7078     56.000 1     2.8499 1   2.851953     3.2149      8.125 1     0.2089      1.105      0.032   4633.400  28.520000      0.884     55.519 1    31.2992 1    24.9441 1      6.730 1   88.07100 0 
      7090     56.500 1     2.8379 1   2.851465     3.2119      8.122 1     0.2040      1.114      0.027   4632.900  28.060000      0.917     56.014 1    31.3048 1    24.9495 1      6.730 1   88.04000 0 
      7104     57.000 1     2.8311 1   2.851226     3.2091      8.120 1     0.2030      1.124      0.022   4632.200  27.510000      0.928     56.510 1    31.3083 1    24.9528 1      6.726 1   87.97700 0 
      7117     57.500 1     2.8253 1   2.851065     3.2065      8.118 1     0.2024      1.133      0.019   4632.000  26.940000      0.913     57.006 1    31.3116 1    24.9560 1      6.722 1   87.91100 0 
      7132     58.000 1     2.8130 1   2.850640     3.2042      8.117 1     0.2010      1.140      0.015   4631.900  26.380000      0.870     57.501 1    31.3183 1    24.9623 1      6.717 1   87.83300 0 
      7148     58.500 1     2.7971 1   2.850080     3.2023      8.115 1     0.1967      1.133      0.012   4631.800  25.840000      0.812     57.997 1    31.3268 1    24.9704 1      6.715 1   87.76700 0 
      7164     59.000 1     2.7862 1   2.849740     3.2004      8.113 1     0.1923      1.119      0.009   4631.400  25.290000      0.764     58.492 1    31.3330 1    24.9762 1      6.713 1   87.72000 0 
      7181     59.500 1     2.7725 1   2.849274     3.1982      8.112 1     0.1944      1.110      0.005   4630.500  24.740000      0.739     58.988 1    31.3405 1    24.9832 1      6.708 1   87.63900 0 
      7197     60.000 1     2.7645 1   2.849034     3.1959      8.110 1     0.1969      1.107      0.003   4630.000  24.220000      0.737     59.484 1    31.3451 1    24.9876 1      6.699 1   87.49800 0 
      7212     60.500 1     2.7600 1   2.848983     3.1937      8.109 1     0.1983      1.107      0.001   4629.900  23.710000      0.753     59.979 1    31.3486 1    24.9907 1      6.688 1   87.35400 0 
      7226     61.000 1     2.7535 1   2.848845     3.1920      8.108 1     0.1991      1.111      0.000   4629.900  23.230000      0.785     60.475 1    31.3530 1    24.9947 1      6.680 1   87.23500 0 
      7240     61.500 1     2.7425 1   2.848491     3.1904      8.107 1     0.1981      1.115      0.000   4630.000  22.770000      0.826     60.971 1    31.3592 1    25.0006 1      6.675 1   87.15000 0 
      7253     62.000 1     2.7362 1   2.848311     3.1886      8.105 1     0.1936      1.113      0.000   4630.500  22.320000      0.865     61.466 1    31.3629 1    25.0040 1      6.674 1   87.12200 0 
      7266     62.500 1     2.7292 1   2.848097     3.1864      8.104 1     0.1895      1.110      0.000   4631.300  21.820000      0.895     61.962 1    31.3669 1    25.0078 1      6.675 1   87.12100 0 
      7280     63.000 1     2.7147 1   2.847575     3.1837      8.103 1     0.1885      1.105      0.000   4632.400  21.300000      0.908     62.457 1    31.3746 1    25.0150 1      6.673 1   87.06800 0 
      7293     63.500 1     2.6869 1   2.846497     3.1807      8.102 1     0.1884      1.103      0.000   4633.400  20.780000      0.903     62.953 1    31.3884 1    25.0282 1      6.669 1   86.96600 0 
      7308     64.000 1     2.6492 1   2.844912     3.1770      8.101 1     0.1887      1.103      0.000   4633.900  20.280000      0.879     63.449 1    31.4058 1    25.0451 1      6.667 1   86.86200 0 
      7323     64.500 1     2.5959 1   2.842517     3.1732      8.100 1     0.1900      1.099      0.000   4634.100  19.730000      0.837     63.944 1    31.4286 1    25.0675 1      6.670 1   86.80200 0 
      7340     65.000 1     2.5409 1   2.839924     3.1691      8.099 1     0.1914      1.092      0.000   4633.100  19.110000      0.780     64.440 1    31.4508 1    25.0894 1      6.679 1   86.81200 0 
      7357     65.500 1     2.4952 1   2.837852     3.1648      8.097 1     0.1864      1.090      0.000   4631.000  18.500000      0.725     64.936 1    31.4702 1    25.1085 1      6.681 1   86.75500 0 
      7373     66.000 1     2.4554 1   2.836025     3.1605      8.096 1     0.1822      1.092      0.000   4629.200  18.050000      0.707     65.431 1    31.4868 1    25.1247 1      6.677 1   86.63100 0 
      7388     66.500 1     2.4187 1   2.834092     3.1569      8.095 1     0.1812      1.096      0.000   4628.500  17.650000      0.737     65.927 1    31.4991 1    25.1373 1      6.675 1   86.52900 0 
      7402     67.000 1     2.3832 1   2.832074     3.1543      8.094 1     0.1810      1.094      0.000   4628.900  17.270000      0.796     66.422 1    31.5092 1    25.1480 1      6.675 1   86.45400 0 
